complaint_text,category,priority
street light is not working in Main Road. Residents need municipal assistance.,Streetlight,Low
street light is not working in Central Street. Residents need municipal assistance.,Streetlight,Low
street light is not working in Market Area. Residents need municipal assistance.,Streetlight,Low
street light is not working in Residential Area. Residents need municipal assistance.,Streetlight,Low
street light is not working in Residential Area. Residents need municipal assistance.,Streetlight,Low
street light is not working in Market Area. Residents need municipal assistance.,Streetlight,Low
street light is not working in Block A. Residents need municipal assistance.,Streetlight,Low
street light is not working in Block A. Residents need municipal assistance.,Streetlight,Low
street light is not working in Near Park. Residents need municipal assistance.,Streetlight,Low
street light is not working in Near Park. Residents need municipal assistance.,Streetlight,Low
street light is not working in Residential Area. Residents need municipal assistance.,Streetlight,Low
street light is not working in Block A. Residents need municipal assistance.,Streetlight,Low
street light is not working in Block A. Residents need municipal assistance.,Streetlight,Low
street light is not working in Block A. Residents need municipal assistance.,Streetlight,Low
street light is not working in Near Park. Residents need municipal assistance.,Streetlight,Low
street light is not working in School Road. Residents need municipal assistance.,Streetlight,Low
street light is not working in Market Area. Residents need municipal assistance.,Streetlight,Low
street light is not working in Market Area. Residents need municipal assistance.,Streetlight,Low
street light is not working in Central Street. Residents need municipal assistance.,Streetlight,Low
street light is not working in Near Park. Residents need municipal assistance.,Streetlight,Low
small pothole on the side road in School Road. Residents need municipal assistance.,Road,Low
small pothole on the side road in Near Park. Residents need municipal assistance.,Road,Low
small pothole on the side road in Block A. Residents need municipal assistance.,Road,Low
small pothole on the side road in Market Area. Residents need municipal assistance.,Road,Low
small pothole on the side road in Near Park. Residents need municipal assistance.,Road,Low
small pothole on the side road in Market Area. Residents need municipal assistance.,Road,Low
small pothole on the side road in Block A. Residents need municipal assistance.,Road,Low
small pothole on the side road in Near Park. Residents need municipal assistance.,Road,Low
small pothole on the side road in Main Road. Residents need municipal assistance.,Road,Low
small pothole on the side road in Near Park. Residents need municipal assistance.,Road,Low
small pothole on the side road in Near Park. Residents need municipal assistance.,Road,Low
small pothole on the side road in Main Road. Residents need municipal assistance.,Road,Low
small pothole on the side road in Near Park. Residents need municipal assistance.,Road,Low
small pothole on the side road in Residential Area. Residents need municipal assistance.,Road,Low
small pothole on the side road in Block A. Residents need municipal assistance.,Road,Low
small pothole on the side road in Residential Area. Residents need municipal assistance.,Road,Low
small pothole on the side road in Central Street. Residents need municipal assistance.,Road,Low
small pothole on the side road in Residential Area. Residents need municipal assistance.,Road,Low
small pothole on the side road in School Road. Residents need municipal assistance.,Road,Low
small pothole on the side road in Block A. Residents need municipal assistance.,Road,Low
garbage collection was delayed by one day in Central Street. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Near Park. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Near Park. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in School Road. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Block A. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Residential Area. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Near Park. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Residential Area. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Near Park. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Near Park. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Residential Area. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Central Street. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Block A. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Market Area. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in School Road. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Market Area. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Block A. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Residential Area. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in School Road. Residents need municipal assistance.,Waste,Low
garbage collection was delayed by one day in Residential Area. Residents need municipal assistance.,Waste,Low
minor damage to a public bench in Central Street. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Near Park. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Near Park. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Market Area. Residents need municipal assistance.,Other,Low
minor damage to a public bench in School Road. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Near Park. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Main Road. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Central Street. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Main Road. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Block A. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Block A. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Market Area. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Central Street. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Market Area. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Main Road. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Central Street. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Block A. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Block A. Residents need municipal assistance.,Other,Low
minor damage to a public bench in Residential Area. Residents need municipal assistance.,Other,Low
